rank,search_word
1,정준영 동영상
2,이종현
3,정유미
4,허현
5,나경원
6,이청아
7,유리 오빠
8,사이코메트리
9,권혁준
10,씨엔블루이종현
11,디스패치
12,트와이스
13,밀땅포차
14,코인법률방 걸그룹 빚투
15,강경윤 기자
16,이홍기
17,lpg 규제완화
18,2019 워터밤
19,김연철
20,sbs 8시뉴스
